latitude_deg,longitude_deg,iata_code
51.4706,-0.461941,LHR
33.942501,-118.407997,LAX
41.9786,-87.9048,ORD
40.639447,-73.779317,JFK
33.6367,-84.428101,ATL
49.012798,2.55,CDG
37.619806,-122.374821,SFO
52.308601,4.76389,AMS
50.030241,8.561096,FRA
40.692501,-74.168701,EWR
32.896801,-97.038002,DFW
36.083361,-115.151817,LAS
28.429399490356445,-81.30899810791016,MCO
39.861698150635,-104.672996521,DEN
38.9445,-77.455803,IAD
40.777199,-73.872597,LGA
25.79319953918457,-80.29060363769531,MIA
47.447943,-122.310276,SEA
33.435302,-112.005905,PHX
42.36197,-71.0079,BOS
39.871899,-75.241096,PHL
35.2140007019043,-80.94309997558594,CLT
51.148771,-0.192089,LGW
29.984399795532227,-95.34140014648438,IAH
38.8521,-77.037697,DCA
42.21377,-83.353786,DTW
44.880081,-93.221741,MSP
43.6772,-79.6306,YYZ
48.353802,11.7861,MUC
41.2971,2.07846,BCN
41.804532,12.251998,FCO
40.471926,-3.56264,MAD
40.78886,-111.979866,SLC
26.072599,-80.152702,FLL
41.785999,-87.752403,MDW
39.1754,-76.668297,BWI
32.7336006165,-117.190002441,SAN
47.458056,8.548056,ZRH
53.428713,-6.262121,DUB
55.617900848389,12.656000137329,CPH
50.901402,4.48444,BRU
38.748697,-90.370003,STL
25.2527999878,55.3643989563,DXB
48.110298,16.5697,VIE
49.193901062,-123.183998108,YVR
21.32062,-157.924228,HNL
51.884998,0.235,STN
1.35019,103.994003,SIN
35.764702,140.386002,NRT
45.588699,-122.598,PDX
29.993401,-90.258003,MSY
27.9755,-82.533203,TPA
38.7813,-9.13592,LIS
45.467837,-73.742294,YUL
36.1245,-86.6782,BNA
22.308901,113.915001,HKG
59.64849,17.928829,ARN
39.048801,-84.667801,CVG
50.100874,14.259911,PRG
-33.946098,151.177002,SYD
13.681099891662598,100.74700164794922,BKK
21.039444,-86.874304,CUN
35.877602,-78.787498,RDU
30.197535,-97.662015,AUS
45.6306,8.72811,MXP
37.936401,23.9445,ATH
40.491501,-80.232903,PIT
47.43018,19.262393,BUD
52.5597,13.2877,
60.193901,11.1004,OSL
40.971913,28.823714,ISL
63.985001,-22.6056,KEF
29.533701,-98.469803,SAT
37.362452,-121.929188,SJC
39.2976,-94.713898,MCI
60.318363,24.963341,HEL
37.720085,-122.221184,OAK
53.349375,-2.279521,MAN
33.675701,-117.867996,SNA
40.080101013183594,116.58499908447266,PEK
55.950145,-3.372288,EDI
35.0424,-89.9767,MEM
46.238098,6.10895,GVA
41.411701,-81.8498,CLE
29.645399,-95.2789,HOU
48.72333,2.37944,ORY
2.74558,101.709999,KUL
32.847099,-96.851799,DAL
39.7173,-86.294403,IND
51.289501,6.76678,DUS
51.118822,-114.009933,YYC
19.435137,-99.071328,MEX
51.874699,-0.368333,LTN
37.469101,126.450996,ICN
52.165699,20.9671,WAW
35.039976,-106.608925,ABQ
45.505299,12.3519,VCE
39.998001,-82.891899,CMH
39.551701,2.73881,PMI
28.55563,77.09519,DEL
36.6749,-4.49911,AGP
31.1434,121.805,PVG
43.658401,7.21587,NCE
-37.661548,144.836432,MEL
42.947201,-87.896599,MKE
